"","X","BD","year","yd","monthproxy","smax","zmax","delta","sanom","sb","zt","zb","N2","zn2","tmax","tt","tb","smax_yn","Name","NumofPoly","NumofSta","Region","Area","Type","lon","lat"
"11566",11565,146,2003,41,1,35.762,76,103.133333333333,0.256,35.506,37.8666666666667,141,0.000319091634334084,29,13.46,13.1006666666667,11.98,1,1,1,1,"MAB",1540.431866,"SB",-74.7917,36.1817
"11567",11566,120,2003,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8083,36.0767
"11568",11567,115,2003,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8267,35.945
"11569",11568,81,2003,41,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.9,35.7933
"11571",11570,88,2003,42,1,36.338,67,72.3,0.899000000000001,35.439,8,80.3,0.000686667329482296,71,16.68,15.03,11.409,1,1,1,1,"MAB",1540.431866,"SB",-74.8233,35.62
"11572",11571,120,2003,42,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.82,35.615
"11573",11572,90,2003,42,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8817,35.8033
"11633",11632,88,2003,68,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8633,36.1167
"11634",11633,85,2003,68,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8967,35.9633
"11656",11655,126,2003,70,2,35.403,16,110.041536863967,0.606999999999999,34.796,9.95846313603323,120,0.00163019889680026,11,13.62,13.2219106957425,9.49,1,1,1,1,"MAB",1540.431866,"SB",-74.85,35.7533
"11932",11931,115,2003,276,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,"MAB",1540.431866,"SB",-74.8,36.225
"11933",11932,71,2003,276,5,33.639,40,25.796875,0.276000000000003,33.363,34.203125,60,0.00105699848363735,55,20.18,20.6378125,12.41,1,1,1,1,"MAB",1540.431866,"SB",-74.9083,36.1617
"11934",11933,132,2003,276,5,35.269,37,21.7570093457944,1.614,33.655,28.2429906542056,50,0.00143877759625333,21,23.1,20.4724299065421,13.74,1,1,1,1,"MAB",1540.431866,"SB",-74.805,36.0867
"11935",11934,86,2003,276,5,33.74,43,22.4465408805031,0.465000000000003,33.275,28.5534591194969,51,0.00137389834787371,27,18.7,19.7880503144654,14.3,1,1,1,1,"MAB",1540.431866,"SB",-74.89,35.985
