"","spp","Region","Type","bin","n","mean_ct","se_ct","conf_interval05","conf_interval95"
"257","diaspp","GB","SB",1,1000,3.94042824957612,0.01946407088951,2.84126420032798,5.12733098661315
"258","diaspp","GB","SB",2,997,3.13982712706346,0.0147838043580511,2.49098012277372,4.17728531855956
"259","diaspp","GB","SB",3,1000,5.12274432652708,0.0100697708769001,4.50522997595191,5.66671506547736
"260","diaspp","GB","SB",4,1000,4.90344799516252,0.0141749233497313,3.91421249156836,5.38556554360098
"261","diaspp","GB","SB",5,1000,4.69456467379416,0.00613507526197787,4.31443076285472,5
"262","diaspp","MAB","MS",1,1000,4.84531138095604,0.0201598832583358,3.43813760204013,5.74644995424169
"263","diaspp","MAB","MS",2,994,4.14206724253251,0.039047902949408,1.20751142579218,6
"264","diaspp","MAB","MS",3,871,5,5.86122620897999e-18,5,5
"265","diaspp","MAB","MS",4,957,4.77931727857293,0.0287022054366667,3,6
"266","diaspp","MAB","MS",5,939,5.33032437308675,0.0108063060232404,5,6
"267","diaspp","MAB","SB",1,1000,5.04679759632719,0.00911285641107146,4.42014213125389,5.52108275137887
"268","diaspp","MAB","SB",2,1000,5.17269450156103,0.0139020423828439,4.07135553718233,5.85181056395897
"269","diaspp","MAB","SB",3,1000,4.80602422298146,0.00698083704892046,4.40737441128418,5.28812904839491
"270","diaspp","MAB","SB",4,1000,4.18550411240816,0.0103936752673517,3.5068945187258,4.79593928290376
"271","diaspp","MAB","SB",5,1000,3.9085933363793,0.0186113316028693,2.68609090780725,5.01771303254089
"272","diaspp","SNE","MS",1,999,4.21988407879476,0.0289501519994115,3.1157984866926,5.89569241453815
"273","diaspp","SNE","MS",2,996,3.80166737305896,0.021300274520375,3,5.37710063723019
"274","diaspp","SNE","MS",3,864,6,1.51169725086619e-17,6,6
"275","diaspp","SNE","MS",4,1000,5.07605040715512,0.0126711714192518,4.28213411255253,5.74673185147061
"276","diaspp","SNE","MS",5,1000,4.9714841640061,0.00100676591902164,4.89262442504674,5
"277","diaspp","SNE","SB",1,1000,4.74547487826824,0.00980181326054422,4.03959528727882,5.13462278259019
"278","diaspp","SNE","SB",2,975,3.04088787693868,0.0196063048441292,2,5
"279","diaspp","SNE","SB",3,999,4.68659703222678,0.0200294706466999,3.57465892280936,5.82829877701262
"280","diaspp","SNE","SB",4,999,5.55313444247869,0.0134293662583475,4.38312506484923,6
"281","diaspp","SNE","SB",5,1000,4.95970869853074,0.00137036496667123,4.85908348880062,5
"282","enccim","GOM","IS",1,1000,3.76542657560073,0.00861412603734704,3.39722111093771,4.44613233762458
"283","enccim","GOM","IS",2,1000,3.71885212726589,0.00652186396175255,3.36316729100727,4.18477647470947
"284","enccim","GOM","IS",3,1000,3.59840730828913,0.00454267249381516,3.31662740334136,3.91560226702566
"285","enccim","GOM","IS",4,1000,3.49743248652331,0.00716738700451405,3.1086754438896,3.92729549581925
"286","enccim","GOM","IS",5,1000,3.31009495189519,0.00380675448075703,3.02772258613854,3.52180508323873
"287","enccim","GOM","MS",1,1000,3.77170519128188,0.00402321651310512,3.53574252566201,4.02213863359462
"288","enccim","GOM","MS",2,1000,3.4940177472844,0.00916779334691005,3.09957352566845,4.19937608583696
"289","enccim","GOM","MS",3,1000,3.47546036120001,0.00609503684963768,3.17127451947402,3.91475401944431
"290","enccim","GOM","MS",4,1000,3.78999746198375,0.00646900795488193,3.3531687646794,4.19375090689124
"291","enccim","GOM","MS",5,1000,3.57197253157159,0.00534045547697894,3.29170435294002,3.94188240413544
"292","enccim","SNE","IS",1,1000,3.2250407825118,0.002198158290071,3.11309733495312,3.38502530880988
"293","enccim","SNE","IS",2,1000,3.17611513375363,0.00249143909990206,3.0568849205048,3.36953633237349
"294","enccim","SNE","IS",3,1000,3.24503743985697,0.0030751504726334,3.09828527083717,3.46493698803132
"295","enccim","SNE","IS",4,1000,3.0786604993444,0.00145056657065197,3.01551222981908,3.18931952878137
"296","enccim","SNE","IS",5,1000,3.38234804030379,0.00412177108060169,3.15332682227972,3.65043702669282
"297","enccim","SNE","MS",1,1000,3.1066556162138,0.00261707718820932,3.01327518555855,3.32698349225319
"298","enccim","SNE","MS",2,1000,3.25445953497278,0.00751805760949451,3.02334487203212,3.88102861840993
"299","enccim","SNE","MS",3,1000,3.0970058278309,0.00356428265286897,3.01108689280675,3.33898555102384
"300","enccim","SNE","MS",4,1000,3.12352946710297,0.00407629514098448,2.96240349726228,3.40804615133339
"301","enccim","SNE","MS",5,999,3,9.31868145956241e-18,3,3
"302","etrspp","MAB","IS",1,1000,4.72735735296535,0.00493237875972647,4.39488408262641,4.99067797803561
"303","etrspp","MAB","IS",2,1000,4.3777763358591,0.00426904336463734,4.15881641060373,4.67409368995485
"304","etrspp","MAB","IS",3,1000,4.26935028978535,0.00369879812098473,4.08460509245132,4.53156163780841
"305","etrspp","MAB","IS",4,1000,4.2399936794696,0.00578841048268035,3.92211216068334,4.63208688799202
"306","etrspp","MAB","IS",5,1000,4.45202485462115,0.00796750801107934,3.98099224492021,4.82855195564164
"307","etrspp","MAB","MS",1,1000,4.23969072932552,0.00713609573904207,3.82027682468727,4.64987483317144
"308","etrspp","MAB","MS",2,1000,4.28023425212,0.0022078107455832,4.15447409702332,4.42576740295777
"309","etrspp","MAB","MS",3,1000,4.3278007164003,0.00234363648750696,4.19202449030332,4.48139124664398
"310","etrspp","MAB","MS",4,1000,4.40428025908055,0.00438527009816297,4.1463141643944,4.69817064628623
"311","etrspp","MAB","MS",5,1000,4.59466391038046,0.00460190225760305,4.3071231331957,4.80516735298613
"312","etrspp","MAB","SB",1,1000,4.24906616590711,0.00723092441831804,3.9192417493964,4.93693511944966
"313","etrspp","MAB","SB",2,1000,4.61870496862017,0.00357844055441721,4.37788553604561,4.82641539582695
"314","etrspp","MAB","SB",3,1000,4.34907645162399,0.00525552726340351,4.10824324262808,4.78012386935323
"315","etrspp","MAB","SB",4,1000,4.31260211401146,0.00872110942242218,4.03798409361035,4.95823062592453
"316","etrspp","MAB","SB",5,1000,4.38964114256662,0.00895035149734843,4.05174879310048,5.12293204264857
"317","etrspp","SNE","IS",1,1000,4.51016919449271,0.00409497828669948,4.27165764628329,4.7691676846913
"318","etrspp","SNE","IS",2,1000,4.60970163945105,0.00689753043261486,4.19435264272601,4.93433560202274
"319","etrspp","SNE","IS",3,1000,4.46054348098493,0.00728493066754037,4.14329094874689,4.97287130191337
"320","etrspp","SNE","IS",4,1000,4.70758258321336,0.00450719888299801,4.43525255923319,5.02288624337413
"321","etrspp","SNE","IS",5,1000,4.39996698918457,0.00353620851355517,4.19117493413546,4.60891667130969
"322","etrspp","SNE","MS",1,1000,4.45369351806938,0.0102962305383529,4.09743645875905,5.27980486357976
"323","etrspp","SNE","MS",2,1000,4.74247274323345,0.0083286396932746,4.30346863506177,5.31860918878947
"324","etrspp","SNE","MS",3,1000,4.7495636111024,0.0109752459951705,4.19220047457663,5.47398834318404
